node_id,x,y,data_rate_kbps,energy_cons_jps
1,37.45,17.44,5.53,0.24
2,95.07,69.09,8.71,0.213
3,73.2,38.67,6.93,0.144
4,59.87,93.67,2.47,0.038
5,15.6,13.75,1.64,0.434
6,15.6,34.11,6.78,0.408
7,5.81,11.35,1.24,0.5
8,86.62,92.47,6.27,0.498
9,60.11,87.73,9.46,0.282
10,70.81,25.79,6.18,0.387
11,2.06,66.0,4.49,0.473
12,96.99,81.72,6.79,0.426
13,83.24,55.52,5.12,0.131
14,21.23,52.97,5.91,0.231
15,18.18,24.19,9.47,0.073
16,18.34,9.31,4.47,0.477
17,30.42,89.72,9.65,0.307
18,52.48,90.04,9.15,0.122
19,43.19,63.31,2.76,0.339
20,29.12,33.9,1.62,0.313
21,61.19,34.92,1.91,0.185
22,13.95,72.6,1.16,0.066
23,29.21,89.71,1.85,0.339
24,36.64,88.71,7.15,0.265
25,45.61,77.99,1.64,0.388
26,78.52,64.2,3.87,0.265
27,19.97,8.41,8.6,0.428
28,51.42,16.16,1.21,0.28
29,59.24,89.86,8.33,0.285
30,4.65,60.64,3.54,0.44
31,60.75,0.92,2.06,0.208
32,17.05,10.15,7.27,0.076
33,6.51,66.35,6.66,0.024
34,94.89,0.51,8.9,0.38
35,96.56,16.08,7.62,0.314
36,80.84,54.87,8.23,0.355
37,30.46,69.19,3.54,0.114
38,9.77,65.2,2.6,0.077
39,68.42,22.43,7.76,0.017
40,44.02,71.22,8.26,0.182
41,12.2,23.72,9.91,0.299
42,49.52,32.54,4.71,0.202
43,3.44,74.65,4.35,0.224
44,90.93,64.96,7.99,0.453
45,25.88,84.92,4.07,0.181
46,66.25,65.76,9.38,0.262
47,31.17,56.83,8.73,0.394
48,52.01,9.37,4.86,0.204
49,54.67,36.77,7.76,0.315
50,18.49,26.52,7.79,0.433
51,96.96,24.4,1.93,0.475
52,77.51,97.3,9.12,0.082
53,93.95,39.31,5.55,0.464
54,89.48,89.2,8.44,0.251
55,59.79,63.11,3.88,0.137
56,92.19,79.48,9.06,0.235
57,8.85,50.26,4.5,0.49
58,19.6,57.69,1.1,0.251
59,4.52,49.25,9.15,0.171
60,32.53,19.52,1.82,0.32
61,38.87,72.25,3.87,0.128
62,27.13,28.08,9.55,0.047
63,82.87,2.43,9.56,0.073
64,35.68,64.55,6.16,0.073
65,28.09,17.71,6.69,0.084
66,54.27,94.05,5.04,0.078
67,14.09,95.39,3.64,0.324
68,80.22,91.49,3.96,0.099
69,7.46,37.02,7.05,0.179
70,98.69,1.55,7.77,0.449
71,77.22,92.83,8.12,0.242
72,19.87,42.82,8.11,0.337
73,0.55,96.67,1.82,0.094
74,81.55,96.36,5.45,0.104
75,70.69,85.3,1.52,0.03
76,72.9,29.44,5.95,0.093
77,77.13,38.51,4.97,0.147
78,7.4,85.11,8.99,0.097
79,35.85,31.69,4.16,0.053
80,11.59,16.95,2.05,0.069
81,86.31,55.68,2.29,0.236
82,62.33,93.62,7.85,0.111
83,33.09,69.6,6.56,0.188
84,6.36,57.01,1.91,0.257
85,31.1,9.72,1.76,0.348
86,32.52,61.5,7.31,0.029
87,72.96,99.01,1.65,0.402
88,63.76,14.01,8.4,0.318
89,88.72,51.83,7.36,0.05
90,47.22,87.74,1.73,0.438
91,11.96,74.08,1.76,0.461
92,71.32,69.7,9.88,0.04
93,76.08,70.25,4.37,0.146
94,56.13,35.95,4.34,0.405
95,77.1,29.36,8.32,0.377
96,49.38,80.94,9.53,0.1
97,52.27,81.01,9.87,0.113
98,42.75,86.71,7.78,0.192
99,2.54,91.32,4.39,0.247
100,10.79,51.13,1.75,0.313
101,3.14,50.15,7.99,0.191
102,63.64,79.83,6.03,0.237
103,31.44,65.0,4.82,0.376
104,50.86,70.2,9.16,0.028
105,90.76,79.58,2.0,0.134
106,24.93,89.0,5.43,0.36
107,41.04,33.8,1.1,0.449
108,75.56,37.56,5.22,0.261
109,22.88,9.4,1.51,0.271
110,7.7,57.83,2.07,0.063
111,28.98,3.59,2.06,0.229
112,16.12,46.56,6.84,0.271
113,92.97,54.26,7.71,0.129
114,80.81,28.65,6.25,0.142
115,63.34,59.08,9.66,0.195
116,87.15,3.05,4.37,0.02
117,80.37,3.73,3.57,0.168
118,18.66,82.26,8.82,0.114
119,89.26,36.02,3.01,0.17
120,53.93,12.71,9.67,0.069
121,80.74,52.22,1.11,0.446
122,89.61,77.0,9.73,0.301
123,31.8,21.58,1.39,0.343
124,11.01,62.29,9.02,0.397
125,22.79,8.53,5.75,0.254
126,42.71,5.17,9.94,0.053
127,81.8,53.14,1.66,0.273
128,86.07,54.06,5.98,0.298
129,0.7,63.74,9.72,0.375
130,51.07,72.61,5.71,0.222
131,41.74,97.59,6.66,0.073
132,22.21,51.63,7.26,0.149
133,11.99,32.3,5.09,0.188
134,33.76,79.52,6.65,0.326
135,94.29,27.08,6.26,0.29
136,32.32,43.9,9.11,0.184
137,51.88,7.85,1.41,0.493
138,70.3,2.54,3.53,0.307
139,36.36,96.26,9.55,0.126
140,97.18,83.6,9.01,0.06
141,96.24,69.6,5.1,0.085
142,25.18,40.9,6.58,0.131
143,49.72,17.33,3.5,0.089
144,30.09,15.64,2.69,0.101
145,28.48,25.02,5.17,0.15
146,3.69,54.92,4.18,0.095
147,60.96,71.46,6.25,0.449
148,50.27,66.02,1.7,0.049
149,5.15,27.99,9.77,0.267
150,27.86,95.49,9.88,0.211
151,90.83,73.79,7.28,0.491
152,23.96,55.44,5.82,0.065
153,14.49,61.17,3.79,0.205
154,48.95,41.96,8.32,0.485
155,98.57,24.77,7.16,0.434
156,24.21,35.6,2.46,0.41
157,67.21,75.78,9.2,0.136
158,76.16,1.44,8.4,0.094
159,23.76,11.61,9.55,0.338
160,72.82,4.6,7.53,0.465
161,36.78,4.07,6.52,0.283
162,63.23,85.55,4.76,0.29
163,63.35,70.37,9.39,0.147
164,53.58,47.42,8.79,0.387
165,9.03,9.78,1.41,0.102
166,83.53,49.16,1.24,0.169
167,32.08,47.35,4.39,0.218
168,18.65,17.32,8.29,0.259
169,4.08,43.39,9.89,0.129
170,59.09,39.85,2.35,0.066
171,67.76,61.59,6.35,0.309
172,1.66,63.51,4.43,0.151
173,51.21,4.53,9.73,0.295
174,22.65,37.46,8.58,0.086
175,64.52,62.59,8.54,0.246
