node_id,x,y,data_rate_kbps,energy_cons_jps
1,37.45,90.83,1.47,0.391
2,95.07,23.96,5.78,0.284
3,73.2,14.49,5.87,0.218
4,59.87,48.95,6.74,0.454
5,15.6,98.57,7.53,0.064
6,15.6,24.21,9.78,0.251
7,5.81,67.21,5.65,0.016
8,86.62,76.16,3.91,0.24
9,60.11,23.76,8.16,0.038
10,70.81,72.82,3.44,0.068
11,2.06,36.78,4.95,0.068
12,96.99,63.23,1.71,0.328
13,83.24,63.35,1.23,0.376
14,21.23,53.58,9.66,0.296
15,18.18,9.03,8.52,0.481
16,18.34,83.53,7.26,0.194
17,30.42,32.08,4.68,0.15
18,52.48,18.65,2.56,0.436
19,43.19,4.08,2.41,0.12
20,29.12,59.09,3.25,0.482
21,61.19,67.76,5.94,0.016
22,13.95,1.66,7.43,0.485
23,29.21,51.21,6.94,0.031
24,36.64,22.65,3.52,0.447
25,45.61,64.52,9.59,0.269
26,78.52,17.44,7.64,0.497
27,19.97,69.09,5.99,0.046
28,51.42,38.67,6.51,0.281
29,59.24,93.67,4.78,0.485
30,4.65,13.75,3.23,0.266
31,60.75,34.11,4.2,0.318
32,17.05,11.35,7.82,0.351
33,6.51,92.47,1.13,0.233
34,94.89,87.73,2.04,0.318
35,96.56,25.79,1.41,0.296
36,80.84,66.0,1.37,0.452
37,30.46,81.72,8.7,0.032
38,9.77,55.52,7.33,0.148
39,68.42,52.97,5.27,0.476
40,44.02,24.19,1.88,0.446
41,12.2,9.31,5.42,0.233
42,49.52,89.72,5.26,0.314
43,3.44,90.04,2.56,0.146
44,90.93,63.31,4.9,0.102
45,25.88,33.9,4.59,0.237
46,66.25,34.92,6.54,0.183
47,31.17,72.6,6.72,0.296
48,52.01,89.71,1.41,0.048
49,54.67,88.71,4.37,0.487
50,18.49,77.99,6.63,0.493
51,96.96,64.2,5.53,0.352
52,77.51,8.41,8.71,0.273
53,93.95,16.16,6.93,0.162
54,89.48,89.86,2.47,0.409
55,59.79,60.64,1.64,0.346
56,92.19,0.92,6.78,0.09
57,8.85,10.15,1.24,0.456
58,19.6,66.35,6.27,0.413
59,4.52,0.51,9.46,0.475
60,32.53,16.08,6.18,0.366
61,38.87,54.87,4.49,0.311
62,27.13,69.19,6.79,0.215
63,82.87,65.2,5.12,0.467
64,35.68,22.43,5.91,0.434
65,28.09,71.22,9.47,0.032
66,54.27,23.72,4.47,0.023
67,14.09,32.54,9.65,0.194
68,80.22,74.65,9.15,0.407
69,7.46,64.96,2.76,0.494
70,98.69,84.92,1.62,0.084
71,77.22,65.76,1.91,0.301
72,19.87,56.83,1.16,0.197
73,0.55,9.37,1.85,0.485
74,81.55,36.77,7.15,0.423
75,70.69,26.52,1.64,0.421
76,72.9,24.4,3.87,0.24
77,77.13,97.3,8.6,0.213
78,7.4,39.31,1.21,0.144
79,35.85,89.2,8.33,0.038
80,11.59,63.11,3.54,0.434
81,86.31,79.48,2.06,0.408
82,62.33,50.26,7.27,0.5
83,33.09,57.69,6.66,0.498
84,6.36,49.25,8.9,0.282
85,31.1,19.52,7.62,0.387
86,32.52,72.25,8.23,0.473
87,72.96,28.08,3.54,0.426
88,63.76,2.43,2.6,0.131
89,88.72,64.55,7.76,0.231
90,47.22,17.71,8.26,0.073
91,11.96,94.05,9.91,0.477
92,71.32,95.39,4.71,0.307
93,76.08,91.49,4.35,0.122
94,56.13,37.02,7.99,0.339
95,77.1,1.55,4.07,0.313
96,49.38,92.83,9.38,0.185
97,52.27,42.82,8.73,0.066
98,42.75,96.67,4.86,0.339
99,2.54,96.36,7.76,0.265
100,10.79,85.3,7.79,0.388
101,3.14,29.44,1.93,0.265
102,63.64,38.51,9.12,0.428
103,31.44,85.11,5.55,0.28
104,50.86,31.69,8.44,0.285
105,90.76,16.95,3.88,0.44
106,24.93,55.68,9.06,0.208
107,41.04,93.62,4.5,0.076
108,75.56,69.6,1.1,0.024
109,22.88,57.01,9.15,0.38
110,7.7,9.72,1.82,0.314
111,28.98,61.5,3.87,0.355
112,16.12,99.01,9.55,0.114
113,92.97,14.01,9.56,0.077
114,80.81,51.83,6.16,0.017
115,63.34,87.74,6.69,0.182
116,87.15,74.08,5.04,0.299
117,80.37,69.7,3.64,0.202
118,18.66,70.25,3.96,0.224
119,89.26,35.95,7.05,0.453
120,53.93,29.36,7.77,0.181
121,80.74,80.94,8.12,0.262
122,89.61,81.01,8.11,0.394
123,31.8,86.71,1.82,0.204
124,11.01,91.32,5.45,0.315
125,22.79,51.13,1.52,0.433
126,42.71,50.15,5.95,0.475
127,81.8,79.83,4.97,0.082
128,86.07,65.0,8.99,0.464
129,0.7,70.2,4.16,0.251
130,51.07,79.58,2.05,0.137
131,41.74,89.0,2.29,0.235
132,22.21,33.8,7.85,0.49
133,11.99,37.56,6.56,0.251
134,33.76,9.4,1.91,0.171
135,94.29,57.83,1.76,0.32
136,32.32,3.59,7.31,0.128
137,51.88,46.56,1.65,0.047
138,70.3,54.26,8.4,0.073
139,36.36,28.65,7.36,0.073
140,97.18,59.08,1.73,0.084
141,96.24,3.05,1.76,0.078
142,25.18,3.73,9.88,0.324
143,49.72,82.26,4.37,0.099
144,30.09,36.02,4.34,0.179
145,28.48,12.71,8.32,0.449
146,3.69,52.22,9.53,0.242
147,60.96,77.0,9.87,0.337
148,50.27,21.58,7.78,0.094
149,5.15,62.29,4.39,0.104
150,27.86,8.53,1.75,0.03
