node_id,x,y,data_rate_kbps,energy_cons_jps
1,37.45,3.14,6.78,0.035
2,95.07,63.64,1.76,0.27
3,73.2,31.44,2.45,0.275
4,59.87,50.86,9.09,0.322
5,15.6,90.76,6.46,0.366
6,15.6,24.93,1.08,0.488
7,5.81,41.04,1.91,0.263
8,86.62,75.56,6.97,0.168
9,60.11,22.88,1.05,0.4
10,70.81,7.7,2.45,0.143
11,2.06,28.98,5.94,0.225
12,96.99,16.12,7.23,0.048
13,83.24,92.97,6.87,0.022
14,21.23,80.81,3.02,0.482
15,18.18,63.34,7.41,0.42
16,18.34,87.15,3.14,0.351
17,30.42,80.37,3.93,0.21
18,52.48,18.66,7.72,0.095
19,43.19,89.26,6.85,0.087
20,29.12,53.93,8.64,0.133
21,61.19,80.74,6.92,0.279
22,13.95,89.61,6.11,0.36
23,29.21,31.8,1.84,0.333
24,36.64,11.01,4.31,0.147
25,45.61,22.79,3.39,0.478
26,78.52,42.71,3.2,0.372
27,19.97,81.8,9.76,0.282
28,51.42,86.07,4.54,0.31
29,59.24,0.7,9.03,0.216
30,4.65,51.07,6.68,0.131
31,60.75,41.74,8.15,0.184
32,17.05,22.21,5.52,0.381
33,6.51,11.99,6.19,0.017
34,94.89,33.76,5.43,0.067
35,96.56,94.29,2.76,0.033
36,80.84,32.32,7.5,0.03
37,30.46,51.88,3.53,0.429
38,9.77,70.3,1.22,0.355
39,68.42,36.36,6.81,0.242
40,44.02,97.18,2.59,0.058
41,12.2,96.24,9.46,0.251
42,49.52,25.18,9.59,0.242
43,3.44,49.72,9.23,0.095
44,90.93,30.09,4.33,0.223
45,25.88,28.48,1.14,0.205
46,66.25,3.69,9.35,0.312
47,31.17,60.96,4.85,0.321
48,52.01,50.27,9.7,0.032
49,54.67,5.15,9.67,0.194
50,18.49,27.86,8.68,0.317
51,96.96,90.83,3.65,0.257
52,77.51,23.96,4.47,0.43
53,93.95,14.49,8.66,0.333
54,89.48,48.95,3.85,0.09
55,59.79,98.57,2.53,0.045
56,92.19,24.21,6.01,0.325
57,8.85,67.21,9.43,0.023
58,19.6,76.16,7.26,0.297
59,4.52,23.76,6.13,0.471
60,32.53,72.82,1.87,0.292
61,38.87,36.78,6.54,0.2
62,27.13,63.23,9.91,0.325
63,82.87,63.35,2.26,0.235
64,35.68,53.58,5.66,0.277
65,28.09,9.03,8.9,0.471
66,54.27,83.53,7.67,0.199
67,14.09,32.08,7.27,0.481
68,80.22,18.65,7.32,0.454
69,7.46,4.08,4.24,0.106
70,98.69,59.09,3.64,0.044
71,77.22,67.76,8.28,0.059
72,19.87,1.66,8.29,0.019
73,0.55,51.21,8.8,0.056
74,81.55,22.65,9.22,0.345
75,70.69,64.52,5.6,0.045
76,72.9,17.44,5.51,0.166
77,77.13,69.09,8.18,0.424
78,7.4,38.67,6.85,0.021
79,35.85,93.67,7.32,0.409
80,11.59,13.75,8.16,0.148
81,86.31,34.11,9.01,0.068
82,62.33,11.35,4.04,0.351
83,33.09,92.47,4.38,0.318
84,6.36,87.73,1.85,0.44
85,31.1,25.79,6.2,0.37
86,32.52,66.0,1.32,0.404
87,72.96,81.72,5.19,0.148
88,63.76,55.52,5.88,0.097
89,88.72,52.97,3.58,0.378
90,47.22,24.19,6.32,0.405
91,11.96,9.31,1.27,0.495
92,71.32,89.72,1.34,0.212
93,76.08,90.04,8.4,0.192
94,56.13,63.31,4.24,0.39
95,77.1,33.9,2.14,0.177
96,49.38,34.92,5.7,0.466
97,52.27,72.6,7.93,0.431
98,42.75,89.71,2.94,0.22
99,2.54,88.71,6.61,0.378
100,10.79,77.99,1.77,0.38
